review_id,review_text,voted_up,votes_up,playtime_at_review,timestamp_created
200000000,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,7,9.03,1710000000
200000001,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,2,8.28,1710000300
200000002,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,6,0.84,1710000600
200000003,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,13,6.95,1710000900
200000004,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,0,9.81,1710001200
200000005,Gunplay is crisp and art style is super stylish.,1,10,32.93,1710001500
200000006,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,10,11.51,1710001800
200000007,Cards mechanic feels totally RNG and unfair in ranked mode.,0,11,1.61,1710002100
200000008,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,3,8.89,1710002400
200000009,"Great concept, hoping the devs fix the server issues soon.",1,9,8.15,1710002700
200000010,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,2,28.09,1710003000
200000011,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,2,9.39,1710003300
200000012,Really fun fresh take on hero shooters with the card system!,1,14,20.21,1710003600
200000013,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,11,2.37,1710003900
200000014,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,2,8.57,1710004200
200000015,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,7,6.64,1710004500
200000016,Cards mechanic feels totally RNG and unfair in ranked mode.,0,7,3.6,1710004800
200000017,Really fun fresh take on hero shooters with the card system!,1,1,14.16,1710005100
200000018,"Great concept, hoping the devs fix the server issues soon.",1,6,15.71,1710005400
200000019,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,15,13.51,1710005700
200000020,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,4,2.14,1710006000
200000021,Guns feel okay but card abilities break game balance completely.,0,13,6.7,1710006300
200000022,"Great concept, hoping the devs fix the server issues soon.",1,4,19.48,1710006600
200000023,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,3,9.19,1710006900
200000024,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,13,9.61,1710007200
200000025,Cards mechanic feels totally RNG and unfair in ranked mode.,0,14,4.89,1710007500
200000026,Guns feel okay but card abilities break game balance completely.,0,0,10.4,1710007800
200000027,Really fun fresh take on hero shooters with the card system!,1,8,32.27,1710008100
200000028,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,13,9.46,1710008400
200000029,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,8,11.47,1710008700
200000030,Gunplay is crisp and art style is super stylish.,1,3,25.31,1710009000
200000031,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,6,38.67,1710009300
200000032,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,0,6.7,1710009600
200000033,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,11,0.72,1710009900
200000034,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,7,14.58,1710010200
200000035,Really fun fresh take on hero shooters with the card system!,1,15,8.43,1710010500
200000036,Gunplay is crisp and art style is super stylish.,1,15,10.14,1710010800
200000037,Gunplay is crisp and art style is super stylish.,1,13,15.6,1710011100
200000038,Gunplay is crisp and art style is super stylish.,1,12,33.52,1710011400
200000039,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,14,22.52,1710011700
200000040,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,0,1.24,1710012000
200000041,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,0,7.27,1710012300
200000042,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,1,3.13,1710012600
200000043,Really fun fresh take on hero shooters with the card system!,1,8,25.57,1710012900
200000044,Gunplay is crisp and art style is super stylish.,1,15,26.57,1710013200
200000045,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,6,9.79,1710013500
200000046,Cards mechanic feels totally RNG and unfair in ranked mode.,0,13,4.57,1710013800
200000047,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,3,8.24,1710014100
200000048,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,3,9.71,1710014400
200000049,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,4,6.67,1710014700
200000050,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,2,5.82,1710015000
200000051,Guns feel okay but card abilities break game balance completely.,0,0,1.63,1710015300
200000052,Gunplay is crisp and art style is super stylish.,1,15,11.65,1710015600
200000053,Cards mechanic feels totally RNG and unfair in ranked mode.,0,5,10.88,1710015900
200000054,Cards mechanic feels totally RNG and unfair in ranked mode.,0,14,3.55,1710016200
200000055,Guns feel okay but card abilities break game balance completely.,0,15,8.11,1710016500
200000056,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,1,3.0,1710016800
200000057,Guns feel okay but card abilities break game balance completely.,0,10,1.2,1710017100
200000058,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,5,6.28,1710017400
200000059,Guns feel okay but card abilities break game balance completely.,0,5,1.42,1710017700
200000060,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,7,8.26,1710018000
200000061,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,1,7.16,1710018300
200000062,Cards mechanic feels totally RNG and unfair in ranked mode.,0,10,8.06,1710018600
200000063,Gunplay is crisp and art style is super stylish.,1,10,31.79,1710018900
200000064,Cards mechanic feels totally RNG and unfair in ranked mode.,0,9,2.01,1710019200
200000065,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,3,0.61,1710019500
200000066,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,4,6.32,1710019800
200000067,Really fun fresh take on hero shooters with the card system!,1,11,40.17,1710020100
200000068,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,9,10.09,1710020400
200000069,Guns feel okay but card abilities break game balance completely.,0,9,0.59,1710020700
200000070,Really fun fresh take on hero shooters with the card system!,1,4,42.56,1710021000
200000071,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,4,9.04,1710021300
200000072,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,6,8.75,1710021600
200000073,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,8,25.22,1710021900
200000074,Really fun fresh take on hero shooters with the card system!,1,13,8.69,1710022200
200000075,Really fun fresh take on hero shooters with the card system!,1,4,5.14,1710022500
200000076,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,14,2.36,1710022800
200000077,Cards mechanic feels totally RNG and unfair in ranked mode.,0,3,6.95,1710023100
200000078,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,11,6.77,1710023400
200000079,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,1,5.44,1710023700
200000080,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,6,10.84,1710024000
200000081,Really fun fresh take on hero shooters with the card system!,1,13,19.15,1710024300
200000082,Gunplay is crisp and art style is super stylish.,1,7,42.03,1710024600
200000083,Gunplay is crisp and art style is super stylish.,1,0,40.26,1710024900
200000084,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,13,9.5,1710025200
200000085,Gunplay is crisp and art style is super stylish.,1,3,15.67,1710025500
200000086,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,7,10.37,1710025800
200000087,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,7,4.52,1710026100
200000088,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,8,5.08,1710026400
200000089,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,12,19.05,1710026700
200000090,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,3,42.57,1710027000
200000091,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,8,12.14,1710027300
200000092,Cards mechanic feels totally RNG and unfair in ranked mode.,0,10,4.48,1710027600
200000093,Guns feel okay but card abilities break game balance completely.,0,6,1.83,1710027900
200000094,Cards mechanic feels totally RNG and unfair in ranked mode.,0,6,0.52,1710028200
200000095,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,10,11.41,1710028500
200000096,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,9,8.78,1710028800
200000097,Cards mechanic feels totally RNG and unfair in ranked mode.,0,9,4.25,1710029100
200000098,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,12,5.34,1710029400
200000099,Gunplay is crisp and art style is super stylish.,1,9,29.62,1710029700
200000100,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,6,3.99,1710030000
200000101,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,14,5.85,1710030300
200000102,"Great concept, hoping the devs fix the server issues soon.",1,5,36.75,1710030600
200000103,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,10,25.62,1710030900
200000104,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,7,8.24,1710031200
200000105,Gunplay is crisp and art style is super stylish.,1,7,5.98,1710031500
200000106,Really fun fresh take on hero shooters with the card system!,1,6,23.22,1710031800
200000107,"Great concept, hoping the devs fix the server issues soon.",1,7,24.78,1710032100
200000108,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,3,10.77,1710032400
200000109,Gunplay is crisp and art style is super stylish.,1,14,12.04,1710032700
200000110,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,3,11.05,1710033000
200000111,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,10,8.18,1710033300
200000112,"Great concept, hoping the devs fix the server issues soon.",1,13,29.51,1710033600
200000113,"Great concept, hoping the devs fix the server issues soon.",1,15,40.89,1710033900
200000114,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,8,10.16,1710034200
200000115,"Great concept, hoping the devs fix the server issues soon.",1,8,30.07,1710034500
200000116,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,10,3.2,1710034800
200000117,Guns feel okay but card abilities break game balance completely.,0,4,1.43,1710035100
200000118,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,2,8.62,1710035400
200000119,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,13,6.74,1710035700
200000120,Cards mechanic feels totally RNG and unfair in ranked mode.,0,0,4.98,1710036000
200000121,"Great concept, hoping the devs fix the server issues soon.",1,11,24.08,1710036300
200000122,Cards mechanic feels totally RNG and unfair in ranked mode.,0,13,10.31,1710036600
200000123,Guns feel okay but card abilities break game balance completely.,0,7,9.7,1710036900
200000124,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,0,5.51,1710037200
200000125,Cards mechanic feels totally RNG and unfair in ranked mode.,0,14,8.83,1710037500
200000126,Really fun fresh take on hero shooters with the card system!,1,0,41.28,1710037800
200000127,Cards mechanic feels totally RNG and unfair in ranked mode.,0,14,2.06,1710038100
200000128,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,6,4.86,1710038400
200000129,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,12,9.25,1710038700
200000130,Cards mechanic feels totally RNG and unfair in ranked mode.,0,2,3.4,1710039000
200000131,Guns feel okay but card abilities break game balance completely.,0,11,1.1,1710039300
200000132,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,1,9.48,1710039600
200000133,Gunplay is crisp and art style is super stylish.,1,0,12.97,1710039900
200000134,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,3,1.95,1710040200
200000135,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,8,5.85,1710040500
200000136,Gunplay is crisp and art style is super stylish.,1,3,29.24,1710040800
200000137,Gunplay is crisp and art style is super stylish.,1,3,43.59,1710041100
200000138,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,12,7.12,1710041400
200000139,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,7,1.37,1710041700
200000140,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,3,10.28,1710042000
200000141,Really fun fresh take on hero shooters with the card system!,1,13,18.89,1710042300
200000142,Really fun fresh take on hero shooters with the card system!,1,10,25.24,1710042600
200000143,Cards mechanic feels totally RNG and unfair in ranked mode.,0,3,9.96,1710042900
200000144,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,14,7.81,1710043200
200000145,"Great concept, hoping the devs fix the server issues soon.",1,8,12.05,1710043500
200000146,Guns feel okay but card abilities break game balance completely.,0,14,9.41,1710043800
200000147,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,7,4.21,1710044100
200000148,Really fun fresh take on hero shooters with the card system!,1,14,16.16,1710044400
200000149,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,12,7.05,1710044700
200000150,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,5,10.29,1710045000
200000151,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,10,9.68,1710045300
200000152,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,6,6.89,1710045600
200000153,Cards mechanic feels totally RNG and unfair in ranked mode.,0,7,6.12,1710045900
200000154,"Great concept, hoping the devs fix the server issues soon.",1,0,22.93,1710046200
200000155,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,7,5.15,1710046500
200000156,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,11,5.94,1710046800
200000157,Guns feel okay but card abilities break game balance completely.,0,14,4.3,1710047100
200000158,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,6,3.15,1710047400
200000159,Guns feel okay but card abilities break game balance completely.,0,5,11.44,1710047700
200000160,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,9,3.68,1710048000
200000161,Gunplay is crisp and art style is super stylish.,1,11,16.85,1710048300
200000162,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,4,8.64,1710048600
200000163,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,4,6.86,1710048900
200000164,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,0,1.68,1710049200
200000165,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,10,6.01,1710049500
200000166,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,15,3.4,1710049800
200000167,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,2,5.11,1710050100
200000168,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,9,2.24,1710050400
200000169,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,13,1.86,1710050700
200000170,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,12,9.42,1710051000
200000171,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,13,3.92,1710051300
200000172,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,3,7.51,1710051600
200000173,Gunplay is crisp and art style is super stylish.,1,8,30.02,1710051900
200000174,Gunplay is crisp and art style is super stylish.,1,2,14.59,1710052200
200000175,Cards mechanic feels totally RNG and unfair in ranked mode.,0,15,5.68,1710052500
200000176,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,9,3.81,1710052800
200000177,"Great concept, hoping the devs fix the server issues soon.",1,7,7.85,1710053100
200000178,Gunplay is crisp and art style is super stylish.,1,7,22.01,1710053400
200000179,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,2,10.01,1710053700
200000180,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,9,7.34,1710054000
200000181,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,12,8.42,1710054300
200000182,"Great concept, hoping the devs fix the server issues soon.",1,1,22.51,1710054600
200000183,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,0,29.15,1710054900
200000184,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,8,12.0,1710055200
200000185,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,14,5.91,1710055500
200000186,Gunplay is crisp and art style is super stylish.,1,13,44.88,1710055800
200000187,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,15,11.64,1710056100
200000188,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,3,4.19,1710056400
200000189,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,15,21.47,1710056700
200000190,Cards mechanic feels totally RNG and unfair in ranked mode.,0,1,9.86,1710057000
200000191,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,3,3.4,1710057300
200000192,"Great concept, hoping the devs fix the server issues soon.",1,0,39.6,1710057600
200000193,"Great concept, hoping the devs fix the server issues soon.",1,6,21.53,1710057900
200000194,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,1,7.69,1710058200
200000195,Guns feel okay but card abilities break game balance completely.,0,9,2.01,1710058500
200000196,Connection lost every two matches. Desync makes gunplay feel unresponsive.,0,7,1.9,1710058800
200000197,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,13,27.03,1710059100
200000198,Servers have terrible netcode and severe desync. I keep getting shot behind walls.,0,3,5.81,1710059400
200000199,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,9,6.23,1710059700
200000200,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,15,5.28,1710060000
200000201,Gunplay is crisp and art style is super stylish.,1,4,23.27,1710060300
200000202,Guns feel okay but card abilities break game balance completely.,0,4,9.08,1710060600
200000203,"Love the card mechanics, brings a fresh tactical twist to FPS.",1,13,35.91,1710060900
200000204,Guns feel okay but card abilities break game balance completely.,0,0,3.57,1710061200
200000205,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,15,10.13,1710061500
200000206,"Great concept, hoping the devs fix the server issues soon.",1,11,26.54,1710061800
200000207,Guns feel okay but card abilities break game balance completely.,0,10,4.84,1710062100
200000208,Gunplay is crisp and art style is super stylish.,1,7,27.87,1710062400
200000209,"Great concept, hoping the devs fix the server issues soon.",1,15,6.75,1710062700
200000210,"Great concept, hoping the devs fix the server issues soon.",1,4,20.44,1710063000
200000211,The card balance RNG ruins competitive play. Deck cards are way too overpowered.,0,10,1.95,1710063300
200000212,"Great concept, hoping the devs fix the server issues soon.",1,14,8.99,1710063600
200000213,FPS drops and stuttering every time a card ability is activated. Poor optimization.,0,4,5.21,1710063900
200000214,Battle pass is predatory and microtransactions are overpriced for a game in this state.,0,12,4.39,1710064200
200000215,Game constantly crashes to desktop. Unplayable server lag and high ping.,0,12,10.3,1710064500
200000216,"Great concept, hoping the devs fix the server issues soon.",1,1,39.9,1710064800
200000217,Matchmaking and SBMM are horrible. Getting destroyed by cheaters and smurfs every match.,0,9,7.76,1710065100
200000218,Really fun fresh take on hero shooters with the card system!,1,3,22.36,1710065400
200000219,Really fun fresh take on hero shooters with the card system!,1,9,22.75,1710065700
