game_name,app_id,days_post_launch,date,peak_ccu
FragPunk,2890730,0,2025-03-01,99041
FragPunk,2890730,1,2025-03-02,98946
FragPunk,2890730,2,2025-03-03,77507
FragPunk,2890730,3,2025-03-04,72230
FragPunk,2890730,4,2025-03-05,65222
FragPunk,2890730,5,2025-03-06,61604
FragPunk,2890730,6,2025-03-07,57606
FragPunk,2890730,7,2025-03-08,69657
FragPunk,2890730,8,2025-03-09,64145
FragPunk,2890730,9,2025-03-10,51927
FragPunk,2890730,10,2025-03-11,45787
FragPunk,2890730,11,2025-03-12,47615
FragPunk,2890730,12,2025-03-13,44446
FragPunk,2890730,13,2025-03-14,39526
FragPunk,2890730,14,2025-03-15,44000
FragPunk,2890730,15,2025-03-16,41657
FragPunk,2890730,16,2025-03-17,33844
FragPunk,2890730,17,2025-03-18,32777
FragPunk,2890730,18,2025-03-19,30768
FragPunk,2890730,19,2025-03-20,28748
FragPunk,2890730,20,2025-03-21,28149
FragPunk,2890730,21,2025-03-22,30032
FragPunk,2890730,22,2025-03-23,28946
FragPunk,2890730,23,2025-03-24,23461
FragPunk,2890730,24,2025-03-25,22481
FragPunk,2890730,25,2025-03-26,22063
FragPunk,2890730,26,2025-03-27,19776
FragPunk,2890730,27,2025-03-28,19415
FragPunk,2890730,28,2025-03-29,21966
FragPunk,2890730,29,2025-03-30,19778
FragPunk,2890730,30,2025-03-31,16901
FragPunk,2890730,31,2025-04-01,15409
FragPunk,2890730,32,2025-04-02,14531
FragPunk,2890730,33,2025-04-03,15144
FragPunk,2890730,34,2025-04-04,14480
FragPunk,2890730,35,2025-04-05,16076
FragPunk,2890730,36,2025-04-06,14616
FragPunk,2890730,37,2025-04-07,11598
FragPunk,2890730,38,2025-04-08,11779
FragPunk,2890730,39,2025-04-09,11013
FragPunk,2890730,40,2025-04-10,10219
FragPunk,2890730,41,2025-04-11,10183
FragPunk,2890730,42,2025-04-12,11004
FragPunk,2890730,43,2025-04-13,11543
FragPunk,2890730,44,2025-04-14,8819
FragPunk,2890730,45,2025-04-15,8838
FragPunk,2890730,46,2025-04-16,8219
FragPunk,2890730,47,2025-04-17,8091
FragPunk,2890730,48,2025-04-18,7828
FragPunk,2890730,49,2025-04-19,8598
FragPunk,2890730,50,2025-04-20,8984
FragPunk,2890730,51,2025-04-21,7228
FragPunk,2890730,52,2025-04-22,7111
FragPunk,2890730,53,2025-04-23,6862
FragPunk,2890730,54,2025-04-24,6466
FragPunk,2890730,55,2025-04-25,6479
FragPunk,2890730,56,2025-04-26,6835
FragPunk,2890730,57,2025-04-27,6722
FragPunk,2890730,58,2025-04-28,5459
FragPunk,2890730,59,2025-04-29,5475
Call_of_Duty,1938090,0,2025-03-01,221704
Call_of_Duty,1938090,1,2025-03-02,217491
Call_of_Duty,1938090,2,2025-03-03,193429
Call_of_Duty,1938090,3,2025-03-04,183270
Call_of_Duty,1938090,4,2025-03-05,180566
Call_of_Duty,1938090,5,2025-03-06,184085
Call_of_Duty,1938090,6,2025-03-07,175475
Call_of_Duty,1938090,7,2025-03-08,219711
Call_of_Duty,1938090,8,2025-03-09,202768
